1941j             "1941: Counter Attack (Japan)"
sfz2n             "Street Fighter Zero 2 (Oceania 960229)"
sfz2ald           "Street Fighter Zero 2 Alpha (Asia 960826 Phoenix Edition) (bootleg)"
sfz2al            "Street Fighter Zero 2 Alpha (Asia 960826)"
sfz2alb           "Street Fighter Zero 2 Alpha (Brazil 960813)"
sfz2alh           "Street Fighter Zero 2 Alpha (Hispanic 960813)"
sfz2alj           "Street Fighter Zero 2 Alpha (Japan 960805)"
sfz3ar1           "Street Fighter Zero 3 (Asia 980701)"
sfz3a             "Street Fighter Zero 3 (Asia 980904)"
sfz3jr2d          "Street Fighter Zero 3 (Japan 980629 Phoenix Edition) (bootleg)"
sfz3jr2           "Street Fighter Zero 3 (Japan 980629)"
sfz3jr1           "Street Fighter Zero 3 (Japan 980727)"
sfz3j             "Street Fighter Zero 3 (Japan 980904)"
sgemfd            "Super Gem Fighter Mini Mix (USA 970904 Phoenix Edition) (bootleg)"
sgemfa            "Super Gem Fighter: Mini Mix (Asia 970904)"
sgemfh            "Super Gem Fighter: Mini Mix (Hispanic 970904)"
smbombr1          "Super Muscle Bomber: The International Blowout (Japan 940808)"
smbomb            "Super Muscle Bomber: The International Blowout (Japan 940831)"
spf2ta            "Super Puzzle Fighter II Turbo (Asia 960529)"
spf2t             "Super Puzzle Fighter II Turbo (Euro 960529)"
spf2th            "Super Puzzle Fighter II Turbo (Hispanic 960531)"
